prompt,step,pos,p,anchor,prev_tok,drafter_argmax,target_tok,match,rank_target_in_drafter,drafter_top1_top2_gap,rank_drafter_in_q2,q2_top1_top2_gap
synthesis_ops_json,5,170,2,1550,2399,26639,26639,1,0,8.8561,0,16.5721
synthesis_ops_json,5,170,3,1550,26639,2873,2873,1,0,3.0565,0,7.1455
synthesis_ops_json,5,170,4,1550,2873,418,418,1,0,3.0563,0,1.1765
synthesis_ops_json,5,170,5,1550,418,270,18125,0,19,5.6108,1,2.0732
synthesis_ops_json,6,171,1,2399,2399,26639,26639,1,0,9.7907,0,16.5721
synthesis_ops_json,6,171,2,2399,26639,2873,2873,1,0,5.0823,0,7.1455
synthesis_ops_json,6,171,3,2399,2873,418,418,1,0,0.1147,0,1.1765
synthesis_ops_json,6,171,4,2399,418,270,18125,0,12,4.9431,1,2.0732
synthesis_ops_json,6,171,5,2399,270,2910,14,0,372,0.5814,129,5.1766
synthesis_ops_json,7,172,1,26639,26639,2873,2873,1,0,5.6766,0,7.1455
synthesis_ops_json,7,172,2,26639,2873,418,418,1,0,1.7635,0,1.1765
synthesis_ops_json,7,172,3,26639,418,270,18125,0,2,3.4841,1,2.0732
synthesis_ops_json,7,172,4,26639,270,2910,14,0,93,0.6392,129,5.1766
synthesis_ops_json,7,172,5,26639,2910,270,15794,0,857,0.1899,25,12.899
synthesis_ops_json,8,173,1,2873,2873,418,418,1,0,1.3647,0,1.1765
synthesis_ops_json,8,173,2,2873,418,18125,18125,1,0,0.976,0,2.0732
synthesis_ops_json,8,173,3,2873,18125,14,14,1,0,3.8039,0,5.1766
synthesis_ops_json,8,173,4,2873,14,18125,15794,0,70,1.7508,35,12.899
synthesis_ops_json,8,173,5,2873,18125,14,42075,0,245,3.7564,19,12.0597
synthesis_timeline_json,1,149,1,1309,1309,304,304,1,0,12.878,0,19.4867
synthesis_timeline_json,1,149,2,1309,304,3551,3551,1,0,1.3363,0,0.1253
synthesis_timeline_json,1,149,3,1309,3551,260,260,1,0,3.4371,0,10.9368
synthesis_timeline_json,1,149,4,1309,260,26639,1550,0,3,1.5479,1,2.1506
synthesis_timeline_json,1,149,5,1309,26639,2873,2399,0,2040,0.4542,129,13.5994
synthesis_timeline_json,2,150,1,304,304,3551,3551,1,0,0.8482,0,0.1253
synthesis_timeline_json,2,150,2,304,3551,260,260,1,0,4.4485,0,10.9368
synthesis_timeline_json,2,150,3,304,260,26639,1550,0,1,2.2488,1,2.1506
synthesis_timeline_json,2,150,4,304,26639,5554,2399,0,815,0.0721,129,13.5994
synthesis_timeline_json,2,150,5,304,5554,294,26639,0,322,1.4019,105,18.5542
synthesis_timeline_json,3,151,1,3551,3551,260,260,1,0,2.1578,0,10.9368
synthesis_timeline_json,3,151,2,3551,260,26639,1550,0,2,2.0055,1,2.1506
synthesis_timeline_json,3,151,3,3551,26639,418,2399,0,728,0.383,129,13.5994
synthesis_timeline_json,3,151,4,3551,418,270,26639,0,14,1.5276,129,18.5542
synthesis_timeline_json,3,151,5,3551,270,26639,2873,0,26,0.6267,30,7.5082
synthesis_timeline_json,4,152,1,260,260,26639,1550,0,1,0.2138,1,2.1506
synthesis_timeline_json,4,152,2,260,26639,2873,2399,0,67,1.1482,129,13.5994
synthesis_timeline_json,4,152,3,260,2873,418,26639,0,71,3.7071,112,18.5542
synthesis_timeline_json,4,152,4,260,418,270,2873,0,14,0.0302,129,7.5082
synthesis_timeline_json,4,152,5,260,270,5554,418,0,196,0.5105,20,4.4683
synthesis_timeline_json,5,153,1,1550,1550,2399,2399,1,0,13.224,0,13.5994
synthesis_timeline_json,5,153,2,1550,2399,26639,26639,1,0,7.7546,0,18.5542
synthesis_timeline_json,5,153,3,1550,26639,2873,2873,1,0,4.6158,0,7.5082
synthesis_timeline_json,5,153,4,1550,2873,418,418,1,0,2.5711,0,4.4683
synthesis_timeline_json,5,153,5,1550,418,270,260,0,1,3.1691,3,0.7868
synthesis_timeline_json,6,154,1,2399,2399,26639,26639,1,0,10.4388,0,18.5542
synthesis_timeline_json,6,154,2,2399,26639,2873,2873,1,0,4.4262,0,7.5082
synthesis_timeline_json,6,154,3,2399,2873,418,418,1,0,1.0754,0,4.4683
synthesis_timeline_json,6,154,4,2399,418,270,260,0,2,4.577,3,0.7868
synthesis_timeline_json,6,154,5,2399,270,2910,40077,0,4,0.638,23,6.5784
synthesis_timeline_json,7,155,1,26639,26639,2873,2873,1,0,3.8334,0,7.5082
synthesis_timeline_json,7,155,2,26639,2873,418,418,1,0,4.0131,0,4.4683
synthesis_timeline_json,7,155,3,26639,418,582,260,0,2,0.5732,4,0.7868
synthesis_timeline_json,7,155,4,26639,582,11235,40077,0,108,0.3974,129,6.5784
synthesis_timeline_json,7,155,5,26639,11235,4,5554,0,42,1.8978,110,7.0514
synthesis_timeline_json,8,156,1,2873,2873,418,418,1,0,4.411,0,4.4683
synthesis_timeline_json,8,156,2,2873,418,260,260,1,0,1.1845,0,0.7868
synthesis_timeline_json,8,156,3,2873,260,582,40077,0,1,0.136,1,6.5784
synthesis_timeline_json,8,156,4,2873,582,43658,5554,0,224,4.0637,129,7.0514
synthesis_timeline_json,8,156,5,2873,43658,7988,305,0,10,8.1876,129,3.8852
